sampno,city,perno,vehno,urbrur,hhfaminc,veh_year,fuel_type_nrel,vmt_mile,mpg_std
40052926,OAKLAND,1,1,1,6,2014,Gasoline,17.87,32.1
40052926,OAKLAND,1,1,1,6,2014,Gasoline,2.473,32.1
30001286,SAN FRANCISCO,1,1,1,11,2015,Gasoline,13.331,33.3
30001286,SAN FRANCISCO,2,1,1,11,2015,Gasoline,13.331,33.3
30001286,SAN FRANCISCO,3,1,1,11,2015,Gasoline,13.331,33.3
30001286,SAN FRANCISCO,1,1,1,11,2015,Gasoline,13.389,33.3
30001286,SAN FRANCISCO,2,1,1,11,2015,Gasoline,13.389,33.3
30001286,SAN FRANCISCO,3,1,1,11,2015,Gasoline,13.389,33.3
30001286,SAN FRANCISCO,1,1,1,11,2015,Gasoline,0.491,33.3
30001286,SAN FRANCISCO,2,1,1,11,2015,Gasoline,0.491,33.3
30001286,SAN FRANCISCO,3,1,1,11,2015,Gasoline,0.491,33.3
30001286,SAN FRANCISCO,1,1,1,11,2015,Gasoline,0.491,33.3
30001286,SAN FRANCISCO,2,1,1,11,2015,Gasoline,0.491,33.3
30001286,SAN FRANCISCO,3,1,1,11,2015,Gasoline,0.491,33.3
30001757,SAN FRANCISCO,1,1,1,8,2005,Gasoline,2.712,27.5
30001757,SAN FRANCISCO,1,1,1,8,2005,Gasoline,1.494,27.5
30001757,SAN FRANCISCO,1,1,1,8,2005,Gasoline,0.853,27.5
30001757,SAN FRANCISCO,1,2,1,8,2003,Gasoline,2.712,27.5
30001757,SAN FRANCISCO,1,2,1,8,2003,Gasoline,1.494,27.5
30001757,SAN FRANCISCO,1,2,1,8,2003,Gasoline,0.853,27.5
30001757,SAN FRANCISCO,1,1,1,8,2005,Gasoline,2.712,27.5
30001757,SAN FRANCISCO,1,1,1,8,2005,Gasoline,1.494,27.5
30001757,SAN FRANCISCO,1,1,1,8,2005,Gasoline,0.853,27.5
30001757,SAN FRANCISCO,1,2,1,8,2003,Gasoline,2.712,27.5
30001757,SAN FRANCISCO,1,2,1,8,2003,Gasoline,1.494,27.5
30001757,SAN FRANCISCO,1,2,1,8,2003,Gasoline,0.853,27.5
30001757,SAN FRANCISCO,1,1,1,8,2005,Gasoline,2.712,27.5
30001757,SAN FRANCISCO,1,1,1,8,2005,Gasoline,1.494,27.5
30001757,SAN FRANCISCO,1,1,1,8,2005,Gasoline,0.853,27.5
