sampno,hh_vmt_fee_static,hh_total_vmt,hh_income_cat,hh_urbrur,hh_income_group
30001286,1.329696,83.106,11,1,high
30001757,0.728496,30.354,8,1,mid_high
30002316,0.52076,26.038,8,1,mid_high
30002949,17.6832,828.9,8,1,mid_high
30003650,1.284672,53.528,7,1,mid_low
30003703,3.9324,163.85,10,1,high
30004504,19.637184,1227.324,11,1,high
30004597,4.64112,232.05599999999998,10,1,high
30005074,2.64096,110.03999999999999,8,1,mid_high
30006271,12.457728,692.096,8,1,mid_high
30006850,7.934976000000001,330.624,10,1,high
30006987,0.5424,22.6,4,1,low
30007141,1.674912,104.682,11,1,high
30007800,5.4583200000000005,227.43,10,1,high
30009516,151.76512,6695.5199999999995,10,1,high
30010796,10.206240000000001,425.26,6,1,mid_low
30011093,12.22368,509.32,9,1,mid_high
30011538,7.220208,300.84200000000004,11,2,high
30011666,3.129408,130.392,6,1,mid_low
30017625,1.109952,69.372,7,1,mid_low
30025699,0.8204400000000001,34.185,4,1,low
30026807,1.30944,81.84,7,1,mid_low
30027544,10.031184,417.966,11,1,high
30027938,17.081760000000003,711.74,1,1,low
30029983,79.68996,4269.1050000000005,11,1,high
30031252,14.546176,681.852,11,2,high
30031588,68.87232,3130.56,10,1,high
30032396,0.24312,15.195,5,1,mid_low
30033642,0.54968,34.355,6,1,mid_low
30034649,2.679744,111.656,8,1,mid_high
30035545,560.924784,23371.866,9,1,mid_high
30036272,18.769344,782.056,5,1,mid_low
30037046,0.406336,25.396,4,1,low
30037447,7.516608,341.664,2,1,low
30037492,31.82536,1591.268,6,1,mid_low
30037730,4.978432,311.152,7,1,mid_low
30040433,41.091408,1712.142,8,1,mid_high
30040845,0.57786,28.893,8,1,mid_high
30041823,6.742656,280.944,7,1,mid_low
30042274,64.967584,2953.072,7,1,mid_low
30043222,1.9673280000000002,81.972,9,1,mid_high
30044225,1.9709400000000001,98.547,8,1,mid_high
30044959,1.0110400000000002,63.190000000000005,4,1,low
30045097,0.5948640000000001,37.179,7,1,mid_low
30046310,4.84272,242.136,11,1,high
30046784,8.017728,334.072,5,1,mid_low
30047212,0.06336,2.64,7,1,mid_low
30047221,10.80192,450.08,7,1,mid_low
30048597,265.49874,15317.235,10,1,high
30049614,1.65184,103.24000000000001,11,1,high
30050996,3.364352,210.272,10,1,high
30051693,0.232232,10.556000000000001,7,1,mid_low
30052047,1.631488,101.968,8,1,mid_high
30052378,0.805632,50.352000000000004,11,1,high
30053919,18.62528,931.264,11,1,high
30054089,9.38368,469.18399999999997,10,1,high
30056852,73.09888,3654.944,11,1,high
30058537,19.457088,810.712,11,1,high
30060239,0.235008,9.792,6,1,mid_low
30060943,7.0297920000000005,292.908,7,2,mid_low
30061034,9.00576,500.32,11,1,high
30061352,0.43036800000000003,17.932,8,1,mid_high
30063048,6.963456,435.216,9,1,mid_high
30064568,2.716512,169.78199999999998,9,1,mid_high
30064613,1.450176,60.424,11,1,high
30065974,109.81872,4575.78,11,1,high
30066284,593.236224,24718.176,6,1,mid_low
30067341,0.24230400000000002,10.096,10,1,high
30067719,2.5344480000000003,113.14500000000001,10,1,high
30068884,5.709696,237.904,10,1,high
30068983,55.97424,2332.26,6,1,mid_low
30069387,42.92416,2146.208,4,1,low
30070842,20.9418,872.575,9,2,mid_high
30071011,2.39664,119.83200000000001,8,1,mid_high
30071074,40.30848,1679.52,11,1,high
30071324,0.10128000000000001,5.064,7,1,mid_low
30071402,4.673152,292.072,6,1,mid_low
30071528,10.492799999999999,437.2,11,1,high
30071654,25.503264,1062.636,5,1,mid_low
30072193,52.641600000000004,2193.4,7,2,mid_low
30072601,21.412728,892.197,6,1,mid_low
30074374,0.25548000000000004,12.774000000000001,5,1,mid_low
30074919,4.484448,186.852,6,1,mid_low
30086132,0.098496,4.104,7,1,mid_low
30089487,0.20296,10.148,7,1,mid_low
30090726,27.96408,1165.17,9,1,mid_high
30090882,4.47904,279.94,10,1,high
30091459,23.740080000000003,1187.0040000000001,6,1,mid_low
30091973,0.12336000000000001,6.168,3,1,low
30093093,1.284768,53.532,5,1,mid_low
30093131,53.96304,2248.46,7,1,mid_low
30093955,23.979792,1057.932,8,1,mid_high
30094733,1.367808,56.992,8,1,mid_high
30095549,2.313024,96.376,6,1,mid_low
30097936,47.836224,2242.323,10,2,high
30097981,6.38016,265.84,4,1,low
30099392,41.521152,1730.048,11,1,high
30100562,5.370624,223.77599999999998,10,1,high
30102614,81.02271999999999,4051.136,8,1,mid_high
30102880,2.448768,153.048,11,1,high
30104033,74.312448,3096.352,7,1,mid_low
30104991,2.55344,159.59,11,1,high
30105105,0.763008,47.688,11,1,high
30106841,10.548672,439.528,11,1,high
30108006,2.07252,103.626,10,1,high
30110568,0.279552,11.648,9,1,mid_high
30111758,0.9584,47.92,7,1,mid_low
30114124,1.459656,60.819,6,1,mid_low
30114128,0.81228,33.845,11,1,high
30114305,2.5488,106.2,11,1,high
30114382,2.115936,132.246,9,1,mid_high
30115304,0.89984,44.992,8,1,mid_high
30115420,49.302431999999996,2054.268,10,1,high
30115523,13.847184,576.966,4,1,low
30117074,3.2415840000000005,135.066,7,1,mid_low
30117684,79.15556000000001,3597.98,8,1,mid_high
30118560,3.176,158.8,6,1,mid_low
30128796,1.19894,59.946999999999996,8,1,mid_high
30129439,0.217296,9.053999999999998,11,1,high
30129542,0.151032,6.293,11,1,high
30130367,12.544752,570.216,9,1,mid_high
30131095,183.700872,7654.2029999999995,9,1,mid_high
30134588,20.811519999999998,1300.7199999999998,11,1,high
30134694,5.332319999999999,222.18,4,1,low
30135305,13.709952000000001,761.664,8,1,mid_high
30135384,12.4624,623.12,6,1,mid_low
30135526,42.54672,2127.336,10,1,high
30137501,31.38048,1307.52,8,1,mid_high
30139730,23.17776,1448.6100000000001,11,1,high
30142155,7.6439200000000005,382.196,9,1,mid_high
30142992,69.892944,3176.9519999999998,11,1,high
30143447,103.26937600000001,5532.288,8,1,mid_high
30146681,5.357808,297.656,11,1,high
30146823,4.041792,252.612,8,1,mid_high
30148773,1.298016,81.126,8,1,mid_high
30150798,10.200000000000001,510.0,10,1,high
30151163,31.132464,1297.186,6,1,mid_low
30151712,10.0014,500.07,7,1,mid_low
30154206,2.0399520000000004,84.998,6,1,mid_low
30157808,11.875680000000001,494.82,8,1,mid_high
30158051,10.3796,518.98,7,1,mid_low
30161092,3.03016,151.508,8,1,mid_high
30162777,0.5063040000000001,21.096,8,1,mid_high
30163265,14.81688,617.37,5,1,mid_low
30163905,0.283896,11.829,9,1,mid_high
30164169,25.78332,1289.166,10,1,high
30165692,9.41472,392.28000000000003,11,1,high
30165799,0.884352,36.848,11,1,high
30165941,6.1207199999999995,255.03,10,1,high
30168625,13.005984,541.916,7,1,mid_low
30168877,1.48536,61.89,10,1,high
30169685,10.465056,436.044,5,1,mid_low
30170019,109.7544,5487.72,2,1,low
30170586,4.44288,222.144,7,1,mid_low
30170648,1.913616,79.73400000000001,5,1,mid_low
30171102,11.171232,465.46799999999996,9,1,mid_high
30171206,4.3006720000000005,268.79200000000003,8,1,mid_high
30172717,40.680192,2179.296,11,1,high
30172766,10.561728,660.1080000000001,3,1,low
30173006,0.25212,10.504999999999999,10,1,high
30179514,8.523768,387.444,11,1,high
30180348,0.722688,30.112000000000002,9,1,mid_high
30181123,9.0,375.0,8,2,mid_high
30181354,3.983904,165.99599999999998,11,1,high
30183736,6.097344,381.08399999999995,11,1,high
30183821,11.72448,732.78,8,1,mid_high
30184454,5.441664,226.736,6,1,mid_low
30185293,1.38056,86.285,11,1,high
30186778,7.15824,357.912,11,1,high
30187153,85.5792,3565.8,6,1,mid_low
30188631,6.139968,255.832,7,1,mid_low
30189758,2.2800000000000002,142.5,1,1,low
30190742,4.4124,183.85,9,1,mid_high
30192757,83.715072,3488.128,6,1,mid_low
30193556,1.92468,80.195,8,1,mid_high
30193730,7.785984,324.416,3,1,low
30193931,14.936448,933.528,10,1,high
30195014,13.043232,543.468,11,1,high
30195522,60.01056,2812.995,4,1,low
30196882,20.437056000000002,851.544,5,1,mid_low
30196898,0.18688,9.344,8,1,mid_high
30198261,6.689952,278.748,11,1,high
30201218,3.820672,238.79199999999997,11,1,high
30201368,3.7648800000000002,156.87,9,1,mid_high
30201548,15.421968,642.582,7,1,mid_low
30205588,0.834176,52.136,10,1,high
30208704,100.448256,4185.344,11,1,high
30209375,0.29076,12.114999999999998,8,1,mid_high
30210830,0.5083040000000001,31.769000000000002,10,1,high
30210855,6.260992,391.31199999999995,11,1,high
30212051,4.993320000000001,208.055,10,1,high
30214254,35.685792,1486.9080000000001,8,1,mid_high
30215169,17.918640000000003,746.61,8,1,mid_high
30215832,0.991536,41.314,6,1,mid_low
30216186,5.75478,287.73900000000003,6,1,mid_low
30217454,10.562112,440.088,11,1,high
30218193,10.73808,447.42,10,1,high
30219187,18.31296,1144.56,11,1,high
30220117,0.6544800000000001,27.27,2,1,low
30221376,7.299648,304.152,8,1,mid_high
30222310,3.774144,157.256,9,1,mid_high
30223846,14.07024,586.26,6,1,mid_low
30226961,1.180968,49.207,5,1,mid_low
30227058,1.3030080000000002,54.292,5,1,mid_low
30228677,1.3346879999999999,55.611999999999995,7,1,mid_low
30229733,6.448320000000001,403.02,11,2,high
30231735,11.347584,472.816,10,1,high
30232000,5.583168,232.632,9,1,mid_high
30232307,4.74264,197.61,7,1,mid_low
30233441,127.12550399999999,5296.896,11,1,high
30233863,6.161232,256.718,7,1,mid_low
30234573,5.607168,350.448,8,1,mid_high
30235620,1.458768,60.782,4,1,low
30237308,12.2064,610.3199999999999,9,1,mid_high
30238018,3.8150399999999998,158.95999999999998,7,1,mid_low
30239275,11.481264,478.38599999999997,11,1,high
30240383,0.007296,0.304,11,1,high
30241755,6.63096,276.28999999999996,11,1,high
30242037,4.362368,272.648,7,1,mid_low
30242521,18.094176,753.924,11,2,high
30244975,6.738696000000001,280.779,11,1,high
30246007,29.55008,1477.504,11,1,high
30248202,0.302016,12.584,4,1,low
30251671,1.457152,91.072,6,1,mid_low
30252659,4.512576,188.024,8,1,mid_high
30253126,43.9461,1997.55,3,1,low
30254981,5.061888,281.216,9,1,mid_high
30255185,1.021992,42.583,4,1,low
30255564,0.143088,5.962,8,1,mid_high
30255607,57.538152000000004,3082.401,11,2,high
30255670,25.839168,1076.632,4,2,low
30256146,23.477184,978.216,11,1,high
30257094,0.48740800000000006,30.463,3,1,low
30257603,3.7428000000000003,187.14,6,1,mid_low
30258786,4.202016,175.084,7,1,mid_low
30258919,24.33072,1216.536,10,1,high
30259039,5.11734,255.867,9,1,mid_high
30261705,8.911296,371.304,10,1,high
30263243,11.535872000000001,720.9920000000001,8,1,mid_high
30263808,16.730496,697.104,10,1,high
30264337,9.605184000000001,400.216,7,1,mid_low
30264954,25.847568000000003,1076.982,7,1,mid_low
30265030,2.45536,122.768,11,2,high
30265106,33.514368,1396.432,7,1,mid_low
30268109,102.74472,4281.03,7,2,mid_low
30269506,0.91988,45.994,10,1,high
30269544,0.24888000000000002,10.370000000000001,10,1,high
30271168,10.811328,450.472,9,1,mid_high
30271548,9.86484,411.035,9,1,mid_high
30272612,2.359296,98.304,6,1,mid_low
30274853,5.184696,235.668,9,1,mid_high
30277067,13.902144,579.256,11,1,high
30277572,10.982144,514.788,8,1,mid_high
30278317,59.040608,2683.664,8,1,mid_high
30278382,17.4896,874.48,9,1,mid_high
30278974,1.15496,57.748000000000005,10,1,high
30282700,16.47288,823.644,3,1,low
30282978,113.711136,5168.688,11,1,high
30283234,2.483616,103.48400000000001,8,1,mid_high
30284870,1.125072,46.878,11,1,high
30285060,4.531104,188.796,5,1,mid_low
30285621,16.338696000000002,742.668,10,1,high
30285663,0.57528,23.97,3,1,low
30287808,5.04,210.0,10,1,high
30290256,4.15224,173.01000000000002,6,1,mid_low
30290756,19.076736,1021.9680000000001,8,1,mid_high
30290838,2.096768,131.048,10,1,high
30291404,50.127552,2088.648,3,1,low
30292052,2.7133920000000002,113.05799999999999,7,1,mid_low
30293531,11.580048000000001,643.336,7,1,mid_low
30294517,1.5274240000000001,95.464,9,1,mid_high
30297750,1.44144,90.09,11,1,high
30298457,34.642464000000004,1443.4360000000001,7,1,mid_low
30300856,21.246336,885.264,10,1,high
30301969,3.32064,138.36,8,1,mid_high
30302147,28.3596,1417.98,11,2,high
30303882,8.3904,349.59999999999997,11,1,high
30307645,0.8169120000000001,34.038,10,1,high
30308491,3.838592,239.91199999999998,11,1,high
30309431,2.282496,142.656,6,1,mid_low
30309579,3.44064,172.03199999999998,9,1,mid_high
30310120,51.073024000000004,3192.0640000000003,7,1,mid_low
30310469,0.05630400000000001,2.346,8,1,mid_high
30310687,4.45824,185.76,11,1,high
30310936,13.113648,728.536,10,1,high
30312147,1.0864800000000001,45.269999999999996,8,1,mid_high
30313646,0.556416,23.184,7,1,mid_low
30313794,2.34816,97.84,11,1,high
30314067,0.15383999999999998,6.41,1,1,low
30314398,11.847912,522.702,11,1,high
30315929,0.766524,34.842,9,1,mid_high
30316163,13.676544,641.088,11,1,high
30317701,2.4678400000000003,123.392,11,1,high
30322658,0.57088,28.544,9,1,mid_high
30324004,3.560328,197.796,6,1,mid_low
30324595,11.38216,569.1080000000001,10,1,high
30327669,23.402304,975.096,9,1,mid_high
30332031,1.658944,103.684,10,1,high
30333456,5.772,288.6,10,1,high
30334331,6.112080000000001,254.67000000000002,2,1,low
30335440,6.41396,320.698,11,1,high
30335718,27.997952,1749.872,8,1,mid_high
30336367,8.325936,346.914,7,1,mid_low
30341916,13.448448,560.352,4,1,low
30342040,9.745536,406.064,6,2,mid_low
30342253,9.895608000000001,549.756,11,1,high
30343510,45.723328,2857.708,11,1,high
30346995,4.871088,202.96200000000002,11,2,high
30347576,11.431728,476.322,6,1,mid_low
30347596,99.36432,4140.18,9,1,mid_high
30348330,22.16496,1108.248,10,1,high
30348551,13.908992,869.312,11,1,high
30348768,4.79936,239.968,7,1,mid_low
30350236,4.222656,175.944,3,1,low
30353449,2.791656,116.319,5,1,mid_low
30353624,20.76912,1298.07,11,2,high
30354039,0.18854400000000002,11.783999999999999,6,1,mid_low
30356798,23.2536,1162.68,11,1,high
30357995,0.9969600000000001,49.848,10,1,high
30359462,37.22688,1551.1200000000001,1,1,low
30361877,18.613968,775.582,6,2,mid_low
30364903,0.039456,1.644,9,1,mid_high
30364933,13.387392,557.808,7,1,mid_low
30366888,0.942912,39.288,7,1,mid_low
30368056,0.93946,46.973,5,1,mid_low
30368312,42.682959999999994,2134.148,6,1,mid_low
30368681,9.425376,392.724,6,1,mid_low
30368919,0.75968,47.480000000000004,9,1,mid_high
30371992,6.8859200000000005,344.296,11,1,high
30373944,18.416736,767.3639999999999,5,2,mid_low
30374044,273.77208,12078.18,9,1,mid_high
30374568,21.886848,911.952,11,1,high
30375160,2.6912160000000003,112.134,8,1,mid_high
30375807,7.56156,378.07800000000003,6,1,mid_low
30375839,3.7609920000000003,156.708,8,1,mid_high
30377960,0.245184,10.216000000000001,4,1,low
30379195,0.248784,10.366,2,1,low
30379434,4.996752,208.198,8,1,mid_high
30379826,5.259168,219.132,7,1,mid_low
30383061,11.872512,659.584,11,1,high
30383089,3.2760160000000003,204.751,10,1,high
30385609,2.7755520000000002,115.648,3,1,low
30385755,56.840544,2368.356,10,1,high
30386875,1.8737280000000003,78.072,10,1,high
30387888,2.245312,140.332,9,1,mid_high
30388268,65.328768,2722.0319999999997,10,1,high
30388621,9.15392,457.696,11,1,high
30390336,5.236032,218.168,11,1,high
30390531,154.99328,7265.31,6,2,mid_low
30393920,0.588672,24.528,7,1,mid_low
30394035,3.086336,192.896,8,1,mid_high
30394803,22.722080000000002,1136.104,11,1,high
30395164,4.279008,267.438,7,1,mid_low
30400244,13.301,665.05,11,1,high
30401749,3.64224,227.64,7,1,mid_low
30404220,1.26492,63.246,11,1,high
30405096,23.923392,996.808,11,1,high
30405364,30.07808,1503.904,8,1,mid_high
30406658,5.172672,215.52800000000002,11,1,high
30407199,11.605536,483.564,8,1,mid_high
30407293,1.39184,69.592,11,1,high
30410033,0.28392,11.83,9,1,mid_high
30412050,15.62868,651.195,4,1,low
30412809,3.046944,126.956,6,1,mid_low
30413450,0.337232,18.066,11,1,high
30413721,0.5392,26.96,10,1,high
30415083,46.438848,1934.952,9,1,mid_high
30416542,3.4836,174.18,7,1,mid_low
30416806,2.8333120000000003,177.08200000000002,10,1,high
30420463,2.853632,178.352,10,1,high
30420990,3.837312,239.832,8,1,mid_high
30421801,0.816768,34.032000000000004,7,1,mid_low
30423058,0.8083199999999999,50.519999999999996,5,1,mid_low
30423667,2.1647999999999996,135.29999999999998,8,1,mid_high
30424760,11.414784000000001,475.61600000000004,2,2,low
30425542,9.26016,463.00800000000004,9,1,mid_high
30425703,0.7321920000000001,30.508000000000003,7,1,mid_low
30426064,12.467200000000002,779.2,6,1,mid_low
30426398,5.158320000000001,322.395,9,1,mid_high
30426450,0.6930240000000001,28.876,8,1,mid_high
30426512,5.106528,212.772,11,1,high
30428584,29.62488,1481.244,11,1,high
30429953,0.443232,18.468,8,1,mid_high
30430671,10.943424,455.976,9,1,mid_high
30430893,27.563008000000004,1252.864,7,1,mid_low
30433680,0.780864,32.536,8,1,mid_high
30434515,0.77372,38.686,9,1,mid_high
30434817,3.1159680000000005,129.832,11,1,high
30435074,26.506752,1104.4479999999999,5,1,mid_low
30435189,8.824512,367.688,10,1,high
30436649,15.8504,792.52,8,1,mid_high
30436980,14.0634,585.975,6,1,mid_low
30437554,0.47936,29.96,10,1,high
30438048,0.5909760000000001,36.936,10,1,high
30440141,4.1708,208.54,11,1,high
30441129,0.42304,26.44,11,1,high
30441996,0.23152,11.576,8,1,mid_high
30442072,0.44184,18.41,10,1,high
30442305,88.628064,4747.932,11,1,high
30442480,1.4333280000000002,59.722,8,1,mid_high
30443626,30.071040000000004,1503.5520000000001,11,1,high
30444893,3.4616800000000003,173.084,11,1,high
30444991,0.68492,34.246,9,1,mid_high
30447791,12.395520000000001,619.776,10,1,high
30449314,3.372768,210.798,8,1,mid_high
30450882,24.869376000000003,1036.224,10,1,high
30452008,71.784576,2991.024,11,1,high
30452165,9.45036,472.51800000000003,8,1,mid_high
30453044,13.196448,824.778,11,1,high
30453836,11.464768,614.184,11,1,high
30454663,5.998272,249.928,9,1,mid_high
30455787,2.49312,103.88,7,1,mid_low
30457003,5.931936,370.746,3,1,low
30457370,0.87976,43.988,10,1,high
30457532,0.7999360000000001,49.995999999999995,5,1,mid_low
30458459,3.049344,142.938,10,1,high
30459266,5.0448,210.2,11,1,high
30460376,1.413024,58.876,8,1,mid_high
30461131,95.312712,4332.396,11,1,high
30464679,0.95296,59.56,9,1,mid_high
30464686,3.0794240000000004,192.464,10,1,high
30465655,2.2958399999999997,143.48999999999998,7,1,mid_low
30465707,0.336816,14.034,5,1,mid_low
30468080,2.9832,149.16,11,1,high
30468429,12.684864000000001,792.804,9,1,mid_high
30471066,0.912096,38.004,11,1,high
30471078,10.10232,420.93,6,1,mid_low
30471732,19.439904000000002,809.9960000000001,10,1,high
30472959,20.98432,1049.216,10,1,high
30473108,0.78456,39.228,10,1,high
30473435,1.593648,66.402,7,1,mid_low
30473443,40.03776,2502.36,6,1,mid_low
30473696,0.152928,6.372,8,1,mid_high
30476744,1.522832,95.17699999999999,9,1,mid_high
30480671,4.6682879999999995,291.768,9,1,mid_high
30481441,10.761072,448.378,9,1,mid_high
30482711,2.2499520000000004,93.748,3,1,low
30483286,1.1592,57.96,10,1,high
30483498,0.328512,13.688,6,1,mid_low
30484747,26.76912,1338.4560000000001,10,1,high
30487153,0.947856,39.494,7,1,mid_low
30487586,5.80176,362.60999999999996,10,1,high
30489352,0.08628,3.5949999999999998,7,1,mid_low
30489844,21.8769,1093.845,11,1,high
30491629,33.798912,1584.324,11,1,high
30493479,3.1570560000000003,175.392,11,1,high
30493582,1.93968,80.82000000000001,6,1,mid_low
30493780,11.724,586.2,11,1,high
30496172,4.12224,171.76,7,1,mid_low
30498075,8.145072,339.378,11,1,high
30500123,7.590912,316.288,4,1,low
30501284,1.27416,63.708,7,1,mid_low
30501773,2.84128,142.064,8,1,mid_high
30502265,3.3664319999999996,140.268,11,1,high
30502883,18.117792,754.908,10,1,high
30503727,43.4028,2170.14,6,1,mid_low
30508067,12.169152,507.048,9,1,mid_high
30509967,7.451352000000001,344.97,10,1,high
30510261,7.993152,333.048,10,1,high
30513008,34.81344,1631.88,6,1,mid_low
30514133,2.04232,102.116,7,1,mid_low
30514134,10.889568,453.732,11,1,high
30515602,2.603136,108.464,5,1,mid_low
30516146,1.54488,77.244,10,1,high
30518265,10.3508,517.54,6,1,mid_low
30520560,1.362848,85.17800000000001,10,1,high
30521068,0.992352,41.348,11,1,high
30521201,3.914496,163.104,8,1,mid_high
30524101,6.187264,386.70399999999995,11,1,high
30524727,0.23979999999999999,11.99,9,1,mid_high
30526121,3.220128,134.172,8,1,mid_high
30528912,30.07264,1503.632,11,1,high
30529575,0.53592,22.33,10,1,high
30530042,0.043160000000000004,2.158,9,1,mid_high
30532684,0.41424,25.89,10,1,high
30536649,11.187959999999999,466.165,5,1,mid_low
30536904,0.345744,21.609,7,1,mid_low
30537123,12.144,607.1999999999999,8,1,mid_high
30537285,29.21664,1217.3600000000001,9,1,mid_high
30537688,1.71424,77.92,11,1,high
30538014,3.6933759999999998,230.83599999999998,9,1,mid_high
30538097,36.477168,1954.134,11,1,high
30539240,6.778512000000001,282.438,4,1,low
30541058,7.57512,315.63,5,2,mid_low
30542228,32.416992,1350.708,11,1,high
30544746,2.854016,133.782,11,1,high
30547218,9.836928,409.87199999999996,5,1,mid_low
30547282,1.329264,55.385999999999996,11,1,high
30547595,9.47844,526.58,8,1,mid_high
30549075,12.34608,514.42,8,1,mid_high
30551594,0.83256,41.628,6,1,mid_low
30553389,15.949560000000002,797.4780000000001,2,1,low
30555073,1.29204,53.835,5,1,mid_low
30555884,3.9586560000000004,164.94400000000002,4,1,low
40000855,127.39752000000001,6369.876,10,1,high
40002397,4.35096,217.548,10,1,high
40003484,2.642,132.1,11,1,high
40008422,0.229248,9.552,4,1,low
40008624,19.28064,803.36,6,1,mid_low
40009061,31.993920000000003,1599.6960000000001,9,1,mid_high
40013444,12.936960000000001,539.04,11,1,high
40015408,0.6280000000000001,31.4,6,1,mid_low
40016005,15.566256,648.5939999999999,8,1,mid_high
40016963,10.03188,501.594,9,1,mid_high
40017077,7.987056,332.794,7,1,mid_low
40018002,9.753072,406.378,11,1,high
40018307,1.7539200000000004,73.08000000000001,9,1,mid_high
40019293,1.695456,80.736,9,1,mid_high
40019746,1.156768,72.298,11,1,high
40022772,0.567408,23.642,5,1,mid_low
40022942,5.4315,239.625,10,1,high
40029793,10.84352,677.7199999999999,7,2,mid_low
40030269,13.992912,874.557,10,1,high
