sampno,hh_vmt_fee_dynamic,hh_total_vmt_dyn,hh_income_cat,hh_urbrur,hh_income_group
30001286,1.329695999984,83.10599999899999,11,1,high
30001757,0.7653648099160827,31.890200413170113,8,1,mid_high
30002316,0.5471153971940244,27.35576985970122,8,1,mid_high
30002949,18.578137706839907,870.8502050081206,8,1,mid_high
30003650,1.416145591917045,59.006066329876866,7,1,mid_low
30003703,3.932399999976,163.849999999,10,1,high
30004504,19.637183999984,1227.323999999,11,1,high
30004597,4.641119999980001,232.05599999900002,10,1,high
30005074,2.7746176347523157,115.60906811467981,8,1,mid_high
30006271,13.08820724163108,727.1226245350599,8,1,mid_high
30006850,7.934975999976001,330.62399999900003,10,1,high
30006987,0.7155005002462722,29.812520843594676,4,1,low
30007141,1.674911999984,104.681999999,11,1,high
30007800,5.458319999976001,227.42999999900005,10,1,high
30009516,151.76511999997732,6695.519999998999,10,1,high
30010796,11.860252312914476,494.17717970476974,6,1,mid_low
30011093,12.284551059086041,511.85629412858503,9,1,mid_high
30011538,7.220207999976001,300.84199999900005,11,2,high
30011666,3.636556505611094,151.5231877337956,6,1,mid_low
30017625,1.2235447117276286,76.47154448297678,7,1,mid_low
30025699,1.0822736549280678,45.09473562200282,4,1,low
30026807,1.443448353918432,90.21552211990199,7,1,mid_low
30027544,10.031183999976001,417.965999999,11,1,high
30027938,31.707082536832246,1321.1284390346768,1,1,low
30029983,79.68995999998133,4269.104999998999,11,1,high
30031252,14.546175999978667,681.851999999,11,2,high
30031588,68.872319999978,3130.559999999,10,1,high
30032396,0.2996918818218223,18.730742613863896,5,1,mid_low
30033642,0.6387605513997823,39.92253446248639,6,1,mid_low
30034649,2.815364473154737,117.30685304811404,8,1,mid_high
30035545,563.7180578490363,23488.252410376514,9,1,mid_high
30036272,23.136804976523045,964.0335406884601,5,1,mid_low
30037046,0.5360132949037317,33.500830931483236,4,1,low
30037447,11.93386816033206,542.4485527423664,2,1,low
30037492,36.9829437195466,1849.1471859773299,6,1,mid_low
30037730,5.487925735860799,342.99535849129995,7,1,mid_low
30040433,43.171023141061816,1798.7926308775754,8,1,mid_high
30040845,0.6071051989857066,30.355259949285326,8,1,mid_high
30041823,7.432700776829274,309.69586570121976,7,1,mid_low
30042274,71.61637966782656,3255.289984901207,7,1,mid_low
30043222,1.9771248319426733,82.38020133094473,9,1,mid_high
30044225,2.070688265256913,103.53441326284565,8,1,mid_high
30044959,1.3337013746753137,83.3563359172071,4,1,low
30045097,0.6557425017974824,40.98390636234265,7,1,mid_low
30046310,4.84271999998,242.13599999899998,11,1,high
30046784,9.883382663263564,411.8076109693152,5,1,mid_low
30047212,0.06984427516794403,2.9101781319976676,7,1,mid_low
30047221,11.907390674441205,496.14127810171686,7,1,mid_low
30048597,265.49873999998266,15317.234999999,10,1,high
30049614,1.6518399999839999,103.23999999899999,11,1,high
30050996,3.3643519999840006,210.271999999,10,1,high
30051693,0.25599866974854635,11.63630317038847,7,1,mid_low
30052047,1.7140567730797143,107.12854831748214,8,1,mid_high
30052378,0.805631999984,50.351999999,11,1,high
30053919,18.625279999980002,931.2639999989999,11,1,high
30054089,9.38367999998,469.18399999900004,10,1,high
30056852,73.09887999998,3654.943999999,11,1,high
30058537,19.457087999976,810.711999999,11,1,high
30060239,0.27309314451125294,11.378881021302206,6,1,mid_low
30060943,7.749222333062301,322.88426387759586,7,2,mid_low
30061034,9.005759999981999,500.31999999899995,11,1,high
30061352,0.4521487043251924,18.839529346883015,8,1,mid_high
30063048,6.998132377394317,437.3832735871448,9,1,mid_high
30064568,2.7300395925202636,170.6274745325165,9,1,mid_high
30064613,1.450175999976,60.423999999,11,1,high
30065974,109.818719999976,4575.779999998999,11,1,high
30066284,689.3754504909915,28723.977103791312,6,1,mid_low
30067341,0.242303999976,10.095999999,10,1,high
30067719,2.5344479999776,113.144999999,10,1,high
30068884,5.709695999976001,237.90399999900004,10,1,high
30068983,65.04536532798409,2710.22355533267,6,1,mid_low
30069387,56.622894449572215,2831.1447224786107,4,1,low
30070842,21.046085251690112,876.9202188204214,9,2,mid_high
30071011,2.5179327245145475,125.89663622572738,8,1,mid_high
30071074,40.308479999976,1679.519999999,11,1,high
30071324,0.11164501562323872,5.582250781161935,7,1,mid_low
30071402,5.430478002442067,339.40487515262913,6,1,mid_low
30071528,10.492799999976,437.199999999,11,1,high
30071654,31.437648829549804,1309.9020345645752,5,1,mid_low
30072193,58.02895197602591,2417.8729990010797,7,2,mid_low
30072601,24.882851744439147,1036.7854893516312,6,1,mid_low
30074374,0.3149279449925006,15.74639724962503,5,1,mid_low
30074919,5.2111928353598245,217.13303480665937,6,1,mid_low
30086132,0.10857610050438257,4.524004187682607,7,1,mid_low
30089487,0.22373096736629877,11.186548368314938,7,1,mid_low
30090726,28.10333455888475,1170.9722732868645,9,1,mid_high
30090882,4.479039999984,279.939999999,10,1,high
30091459,27.58737191251854,1379.3685956259271,6,1,mid_low
30091973,0.17647727765343033,8.823863882671516,3,1,low
30093093,1.5837221937784633,65.9884247407693,5,1,mid_low
30093131,59.48562841251793,2478.56785052158,7,1,mid_low
30093955,25.193397007671752,1111.4733973972832,8,1,mid_high
30094733,1.437032063235205,59.87633596813354,8,1,mid_high
30095549,2.6878701897638946,111.99459124016226,6,1,mid_low
30097936,47.836223999978664,2242.322999999,10,2,high
30097981,8.416312079426236,350.6796699760932,4,1,low
30099392,41.521151999976006,1730.0479999990002,11,1,high
30100562,5.370623999976,223.775999999,10,1,high
30102614,85.12323841479464,4256.161920739732,8,1,mid_high
30102880,2.448767999984,153.047999999,11,1,high
30104033,81.9175989372198,3413.2332890508246,7,1,mid_low
30104991,2.553439999984,159.589999999,11,1,high
30105105,0.763007999984,47.687999999,11,1,high
30106841,10.548671999976001,439.52799999900003,11,1,high
30108006,2.07251999998,103.62599999899999,10,1,high
30110568,0.2809441033616805,11.706004306736688,9,1,mid_high
30111758,1.0564828494924718,52.8241424746236,7,1,mid_low
30114124,1.6962062865248648,70.67526193853602,6,1,mid_low
30114128,0.8122799999760001,33.844999999,11,1,high
30114305,2.548799999976,106.199999999,11,1,high
30114382,2.1264728649217317,132.9045540576082,9,1,mid_high
30115304,0.9453804421165487,47.26902210582743,8,1,mid_high
30115420,49.302431999975994,2054.267999999,10,1,high
30115523,18.26634786048176,761.0978275200732,4,1,low
30117074,3.5733283612357094,148.88868171815454,7,1,mid_low
30117684,83.16158240288523,3780.0719274038743,8,1,mid_high
